home_goals,away_goals,home_shots,away_shots,home_xg,away_xg,home_possession,home_final_fatigue,away_final_fatigue,home_avg_fatigue,away_avg_fatigue,home_effective_pressing,away_effective_pressing,run,home_pressing,away_pressing,fatigue_model
0,0,0,3,0.0,0.11592,0.2222222222222222,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,0,low,medium,linear
0,0,3,2,0.118704,0.078656,0.6222222222222222,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,1,low,medium,linear
0,0,7,0,0.277296,0.0,0.8444444444444444,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,2,low,medium,linear
0,1,3,4,0.11856,0.156496,0.3,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,3,low,medium,linear
0,0,1,3,0.039552000000000004,0.119136,0.5222222222222223,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,4,low,medium,linear
0,0,6,3,0.237968,0.117768,0.4,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,5,low,medium,linear
0,1,1,4,0.039952,0.15652000000000002,0.32222222222222224,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,6,low,medium,linear
0,0,4,2,0.158864,0.078248,0.2222222222222222,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,7,low,medium,linear
0,0,2,5,0.079904,0.19640000000000002,0.3111111111111111,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,8,low,medium,linear
0,0,6,1,0.23737600000000003,0.039112,0.4888888888888889,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,9,low,medium,linear
0,2,1,3,0.039648,0.11858400000000001,0.35555555555555557,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,10,low,medium,linear
0,0,3,6,0.118672,0.235248,0.2222222222222222,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,11,low,medium,linear
1,1,5,2,0.19752,0.07819999999999999,0.6222222222222222,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,12,low,medium,linear
0,0,2,5,0.079456,0.196448,0.5888888888888889,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,13,low,medium,linear
0,1,2,7,0.078704,0.27556,0.2222222222222222,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,14,low,medium,linear
0,0,4,2,0.157952,0.078968,0.4888888888888889,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,15,low,medium,linear
0,1,1,8,0.039376,0.314312,0.2777777777777778,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,16,low,medium,linear
0,0,2,6,0.079008,0.236376,0.25555555555555554,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,17,low,medium,linear
0,0,0,2,0.0,0.078752,0.15555555555555556,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,18,low,medium,linear
0,0,2,4,0.079376,0.15668800000000002,0.5333333333333333,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,19,low,medium,linear
0,0,3,6,0.118816,0.23457600000000003,0.4111111111111111,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,20,low,medium,linear
0,0,3,3,0.11904,0.11807999999999999,0.4888888888888889,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,21,low,medium,linear
0,1,3,5,0.119808,0.197168,0.37777777777777777,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,22,low,medium,linear
0,0,2,3,0.078784,0.118392,0.24444444444444444,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,23,low,medium,linear
0,0,1,8,0.039824000000000005,0.313232,0.05555555555555555,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,24,low,medium,linear
0,0,2,7,0.07968,0.274672,0.36666666666666664,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,25,low,medium,linear
0,0,7,4,0.276416,0.156976,0.5333333333333333,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,26,low,medium,linear
0,0,3,2,0.11816000000000002,0.07968800000000001,0.5777777777777777,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,27,low,medium,linear
0,0,6,0,0.237744,0.0,0.7555555555555555,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,28,low,medium,linear
0,0,2,3,0.079536,0.11707200000000001,0.7111111111111111,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,29,low,medium,linear
0,0,2,5,0.078896,0.196376,0.4222222222222222,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,30,low,medium,linear
0,0,3,2,0.11884800000000001,0.077408,0.5555555555555556,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,31,low,medium,linear
1,0,4,4,0.1584,0.15618400000000002,0.5,0.18000000000000027,0.3600000000000004,0.09098901098901112,0.18197802197802213,0.7162499999999999,0.9099999999999999,32,low,medium,linear
