home_goals,away_goals,home_shots,away_shots,home_xg,away_xg,home_possession,run,home_pressing,away_pressing,fatigue_model
0,0,2,3,0.07878399999999999,0.1056,0.43333333333333335,0,low,high,linear
0,0,3,2,0.117376,0.07438399999999999,0.5444444444444444,1,low,high,linear
0,0,7,0,0.274592,0.0,0.8444444444444444,2,low,high,linear
0,1,2,4,0.07855999999999999,0.14783200000000002,0.4222222222222222,3,low,high,linear
0,0,1,3,0.039104,0.11668799999999999,0.5222222222222223,4,low,high,linear
0,0,8,3,0.31590399999999996,0.112728,0.4444444444444444,5,low,high,linear
0,1,1,4,0.039903999999999995,0.14804799999999999,0.3333333333333333,6,low,high,linear
0,0,4,0,0.157664,0.0,0.6111111111111112,7,low,high,linear
0,0,2,5,0.079808,0.186752,0.25555555555555554,8,low,high,linear
0,0,6,1,0.23475200000000002,0.036615999999999996,0.4888888888888889,9,low,high,linear
0,2,2,3,0.07855999999999999,0.114312,0.6111111111111112,10,low,high,linear
1,0,10,1,0.39257600000000004,0.035607999999999994,0.4888888888888889,11,low,high,linear
1,0,5,2,0.19504000000000002,0.07315999999999999,0.6222222222222222,12,low,high,linear
0,0,4,5,0.156256,0.18790400000000002,0.6333333333333333,13,low,high,linear
0,1,1,7,0.038688,0.262576,0.2222222222222222,14,low,high,linear
0,0,2,2,0.07827200000000001,0.07589599999999999,0.43333333333333335,15,low,high,linear
0,0,1,6,0.038655999999999996,0.22848,0.2777777777777778,16,low,high,linear
0,0,1,4,0.03936,0.14941600000000002,0.2111111111111111,17,low,high,linear
0,0,0,2,0.0,0.07532,0.2,18,low,high,linear
0,0,2,4,0.07868800000000001,0.15121600000000002,0.6222222222222222,19,low,high,linear
0,0,3,6,0.11772799999999999,0.22214399999999998,0.3888888888888889,20,low,high,linear
0,0,3,3,0.11807999999999999,0.11352000000000001,0.4888888888888889,21,low,high,linear
1,0,3,5,0.11936000000000001,0.18869599999999997,0.3111111111111111,22,low,high,linear
0,0,0,3,0.0,0.113232,0.25555555555555554,23,low,high,linear
0,0,1,4,0.039648,0.146752,0.3333333333333333,24,low,high,linear
0,0,6,2,0.236512,0.07683200000000001,0.4444444444444444,25,low,high,linear
0,0,7,2,0.272832,0.074456,0.8222222222222222,26,low,high,linear
0,0,1,5,0.038976,0.188552,0.35555555555555557,27,low,high,linear
0,0,6,0,0.23548799999999998,0.0,0.7555555555555555,28,low,high,linear
0,0,2,2,0.079072,0.073664,0.6222222222222222,29,low,high,linear
0,0,2,5,0.077792,0.18624799999999997,0.4222222222222222,30,low,high,linear
0,0,3,2,0.117696,0.07078399999999999,0.5555555555555556,31,low,high,linear
1,0,4,4,0.1568,0.14667999999999998,0.4777777777777778,32,low,high,linear
1,0,4,4,0.15772799999999998,0.146032,0.5333333333333333,33,low,high,linear
0,0,1,2,0.038912,0.07424,0.3333333333333333,34,low,high,linear
0,0,3,5,0.11779200000000001,0.18955999999999998,0.43333333333333335,35,low,high,linear
1,0,2,5,0.078208,0.191504,0.4888888888888889,36,low,high,linear
1,0,4,0,0.15519999999999998,0.0,0.7222222222222222,37,low,high,linear
0,0,0,5,0.0,0.18718400000000002,0.3333333333333333,38,low,high,linear
0,0,6,0,0.23712000000000003,0.0,0.5888888888888889,39,low,high,linear
0,0,1,3,0.039712000000000004,0.11171999999999999,0.4666666666666667,40,low,high,linear
0,0,0,5,0.0,0.192224,0.34444444444444444,41,low,high,linear
0,0,3,4,0.118464,0.155464,0.5333333333333333,42,low,high,linear
0,0,4,2,0.156896,0.072944,0.5666666666666667,43,low,high,linear
0,0,6,2,0.234944,0.07683200000000001,0.43333333333333335,44,low,high,linear
0,0,5,6,0.195552,0.22286399999999998,0.5444444444444444,45,low,high,linear
0,0,5,4,0.196704,0.14934399999999998,0.4777777777777778,46,low,high,linear
0,0,0,7,0.0,0.2584,0.43333333333333335,47,low,high,linear
0,0,4,5,0.15616,0.183584,0.32222222222222224,48,low,high,linear
0,0,4,2,0.156672,0.07416799999999998,0.5333333333333333,49,low,high,linear
0,0,0,5,0.0,0.188048,0.3333333333333333,50,low,high,linear
0,0,4,1,0.156992,0.035032,0.5888888888888889,51,low,high,linear
1,0,3,3,0.11833600000000001,0.10819199999999998,0.6111111111111112,52,low,high,linear
0,0,1,2,0.039872000000000005,0.077048,0.4222222222222222,53,low,high,linear
0,0,1,1,0.039072,0.035607999999999994,0.34444444444444444,54,low,high,linear
0,0,2,8,0.07855999999999999,0.292856,0.43333333333333335,55,low,high,linear
0,0,5,5,0.19689600000000002,0.190784,0.6111111111111112,56,low,high,linear
0,1,0,5,0.0,0.18898399999999999,0.36666666666666664,57,low,high,linear
0,0,4,3,0.15647999999999998,0.11258399999999999,0.5777777777777777,58,low,high,linear
0,1,1,5,0.03888,0.186248,0.5333333333333333,59,low,high,linear
0,0,4,1,0.156,0.036112,0.5222222222222223,60,low,high,linear
0,0,3,4,0.11804800000000001,0.1528,0.5333333333333333,61,low,high,linear
0,0,1,3,0.039776,0.110712,0.5555555555555556,62,low,high,linear
1,0,2,9,0.07910400000000001,0.33415199999999995,0.3,63,low,high,linear
1,0,3,2,0.11776,0.076184,0.43333333333333335,64,low,high,linear
0,0,2,2,0.07891200000000001,0.074456,0.4777777777777778,65,low,high,linear
0,0,0,2,0.0,0.07805600000000001,0.6666666666666666,66,low,high,linear
0,0,1,4,0.039456,0.150856,0.43333333333333335,67,low,high,linear
0,0,3,2,0.116064,0.074744,0.5111111111111111,68,low,high,linear
0,0,4,3,0.156192,0.11258399999999999,0.6333333333333333,69,low,high,linear
0,0,3,2,0.117248,0.07589599999999999,0.4222222222222222,70,low,high,linear
0,0,3,4,0.117376,0.149416,0.4,71,low,high,linear
0,0,4,6,0.157312,0.2256,0.5333333333333333,72,low,high,linear
0,0,3,2,0.11721599999999999,0.075968,0.4777777777777778,73,low,high,linear
1,0,5,3,0.19689600000000002,0.10955999999999999,0.5888888888888889,74,low,high,linear
1,0,6,3,0.235136,0.11114399999999999,0.5555555555555556,75,low,high,linear
0,0,2,2,0.077856,0.07863200000000001,0.3111111111111111,76,low,high,linear
0,0,4,2,0.156416,0.077768,0.6444444444444445,77,low,high,linear
1,0,4,1,0.157536,0.038416,0.7222222222222222,78,low,high,linear
1,0,4,1,0.157952,0.037984000000000004,0.5222222222222223,79,low,high,linear
0,0,3,2,0.11760000000000001,0.073736,0.6444444444444445,80,low,high,linear
0,0,7,1,0.27446400000000004,0.039855999999999996,0.6,81,low,high,linear
0,0,3,3,0.11728,0.10883999999999999,0.36666666666666664,82,low,high,linear
0,0,2,4,0.07814399999999999,0.151864,0.45555555555555555,83,low,high,linear
0,1,3,2,0.117824,0.077768,0.6555555555555556,84,low,high,linear
0,0,2,4,0.07891200000000001,0.15560800000000002,0.4111111111111111,85,low,high,linear
0,0,2,0,0.0784,0.0,0.6666666666666666,86,low,high,linear
0,0,3,2,0.117344,0.07431199999999999,0.35555555555555557,87,low,high,linear
0,0,4,4,0.156288,0.15445599999999998,0.35555555555555557,88,low,high,linear
0,0,2,3,0.079072,0.11575200000000001,0.28888888888888886,89,low,high,linear
0,1,3,5,0.118016,0.190712,0.45555555555555555,90,low,high,linear
0,0,3,1,0.116672,0.037767999999999996,0.5333333333333333,91,low,high,linear
0,1,3,2,0.116096,0.079064,0.35555555555555557,92,low,high,linear
0,0,2,0,0.078304,0.0,0.5444444444444444,93,low,high,linear
1,0,3,3,0.11910400000000002,0.11402399999999999,0.6,94,low,high,linear
0,0,4,6,0.15776,0.22372799999999998,0.37777777777777777,95,low,high,linear
0,1,4,2,0.15632000000000001,0.077192,0.5666666666666667,96,low,high,linear
0,0,3,4,0.11936,0.151504,0.37777777777777777,97,low,high,linear
0,0,3,3,0.11785600000000002,0.112656,0.5888888888888889,98,low,high,linear
0,0,3,3,0.11846400000000001,0.110352,0.4666666666666667,99,low,high,linear
